last_name, first_name, street_address, unit, city, state, zip, dob, ssn, email_address,mobile_number,account_number
Dark,Joseph,7 B Blue Ridge Blvd,,Brighton,MI,48116,3/1/1975,205-81-3991,jdarky@darakjy.org,5046218927, 43991
James,Butt,6649 N Blue Gum St,,New Orleans,LA,70116,7/29/1965,508-60-8859,jbutt@gmail.com,7134926037,26522
Josephine,Darakjy,4 B Blue Ridge Blvd,,Brighton,MI,48116,3/1/1975,205-81-3006,josephine_darakjy@darakjy.org,5046218927,31938
Art,Venere,8 W Cerritos Ave ,#54,Bridgeport,NJ,8014,11/10/1947,793-96-7688,art@venere.org,8102929388,31094
Lenna,Paprocki,639 Main St,,Anchorage,AK,99501,2/11/1986,581-28-7051,lpaprocki@hotmail.com,8566368749,18393
Kiles,Teresa,54 E 75th St,#69,Los Angeles,CA,90034,9/27/1955,322-92-1333,tkiles54@aol.com,6313353414,21333
Donette,Foller,34 Center St,,Hamilton,OH,45011,6/11/1939,375-46-8304,donette.foller@cox.net,9073854412,37466
Simona,Morasca,3 Mcauley Dr,,Ashland,OH,44805,1/12/1968,760-78-8845,simona@morasca.com,5135701893,38829
Mitsue,Tollner,7 Eads St,,Chicago,IL,60632,3/31/1985,726-64-8750,mitsue_tollner@yahoo.com,4195032484,25643
Leota,Dilliard,7 W Jackson Blvd,,San Jose,CA,95111,2/23/1979,873-25-6496,leota@hotmail.com,7735736914,32628
Sage,Wieser,5 Boston Ave,#88,Sioux Falls,SD,57105,6/10/1975,965-59-9766,sage_wieser@cox.net,4087523500,18054
Kris,Marrier,228 Runamuck Pl,#2808,Baltimore,MD,21224,3/25/1973,557-49-4226,kris@gmail.com,6054142147,37632
Minna,Amigon,2371 Jerrold Ave,,Kulpsville,PA,19443,1/22/1947,836-42-6534,minna_amigon@yahoo.com,4106558723,28226
Abel,Maclead,37275 St  Rt 17m M,,Middle Island,NY,11953,12/12/1965,282-99-7138,amaclead@gmail.com,2158741229,37226
Kiley,Caldarera,25 E 75th St,#69,Los Angeles,CA,90034,9/27/1955,322-92-7570,kiley.caldarera@aol.com,6313353414,19485
Graciela,Ruta,98 Connecticut Ave Nw,,Chagrin Falls,OH,44023,5/3/1956,369-95-8546,gruta@cox.net,3104985651,33945
Cammy,Albares,56 E Morehead St,,Laredo,TX,78045,3/25/1976,431-08-6477,calbares@gmail.com,4407808425,14829
Mattie,Poquette,73 State Road 434 E,,Phoenix,AZ,85013,2/22/1941,709-90-6312,mattie@aol.com,9565376195,22824
Meaghan,Garufi,69734 E Carrillo St,,Mc Minnville,TN,37110,12/13/1946,432-24-8074,meaghan@hotmail.com,6022774385,31452
Gladys,Rim,322 New Horizon Blvd,,Milwaukee,WI,53207,12/21/1951,249-34-8665,gladys.rim@rim.org,9313139635,26856
Yuki,Whobrey,1 State Route 27,,Taylor,MI,48180,5/6/1978,324-80-4342,yuki_whobrey@aol.com,4146619598,26607
Fletcher,Flosi,394 Manchester Blvd,,Rockford,IL,61109,4/18/1968,733-27-4800,fletcher.flosi@yahoo.com,3132887937,36717
Bette,Nicka,6 S 33rd St,,Aston,PA,19014,3/17/1959,550-22-5793,bette_nicka@cox.net,8158282147,37385
Veronika,Inouye,6 Greenleaf Ave,,San Jose,CA,95111,12/23/1996,357-08-2396,vinouye@aol.com,6105453615,33717
Willard,Kolmetz,618 W Yakima Ave,,Irving,TX,75062,12/28/1987,295-78-6006,willard@hotmail.com,4085401785,14281
Maryann,Royster,74 S Westgate St,,Albany,NY,12204,2/27/1963,959-99-6560,mroyster@royster.com,9723039197,28658
Alisha,Slusarski,3273 State St,,Middlesex,NJ,8846,8/29/1949,537-64-6119,alisha@slusarski.com,5189667987,30881
Allene,Iturbide,1 Central Ave,,Stevens Point,WI,54481,2/24/1985,771-35-1835,allene_iturbide@cox.net,7326583154,33152
Chanel,Caudy,86 Nw 66th St,#8673,Shawnee,KS,66218,6/18/1972,892-15-4289,chanel.caudy@caudy.org,7156626764,15482
Ezekiel,Chui,2 Cedar Ave,#84,Easton,MD,21601,7/13/1950,792-14-1333,ezekiel@chui.com,9133882079,16456
Willow,Kusko,90991 Thorburn Ave,,New York,NY,10011,5/18/1955,719-41-7284,wkusko@yahoo.com,4106691642,27014
Bernardo,Figeroa,386 9th Ave N,,Conroe,TX,77301,4/13/1955,858-14-2437,bfigeroa@aol.com,2125824976,34454
Ammie,Corrio,74874 Atlantic Ave,,Columbus,OH,43215,1/10/1975,865-62-8550,ammie@corrio.com,9363363951,26777
Francine,Vocelka,366 South Dr,,Las Cruces,NM,88011,4/30/1962,288-18-1881,francine_vocelka@vocelka.com,6148019788,20759
Ernie,Stenseth,45 E Liberty St,,Ridgefield Park,NJ,7660,1/2/1976,668-59-1234,ernie_stenseth@aol.com,5059773911,32922
