Name                           Account Number                 Transaction Number             Merchant                       Transaction Amount             
Michael Smith                  11111                          15                             KROGER                         2300.00                        
Kolmetz Willard                14281                          14                             VZWRLSS*APOCC                  351.05                         
Albares Cammy                  14829                          3                              STADIUM                        348.40                         
Albares Cammy                  14829                          4                              POSTO                          264.19                         
Albares Cammy                  14829                          24                             SQ                             295.27                         
Giguere Wilda                  15041                          2                              CVS/PHARMACY                   93.66                          
Caudy Chanel                   15482                          7                              WALMART.COM                    237.07                         
Caudy Chanel                   15482                          24                             TST*                           169.98                         
Mastella Marjory               15971                          4                              SP                             109.50                         
Pawlowicz Gregoria             16068                          4                              IMMERSIVE                      136.47                         
Shealy Ozell                   16841                          2                              FINDLAY                        90.00                          
Glick Albina                   17079                          8                              WHOLEFDS                       457.37                         
Wieser Sage                    18054                          17                             DESI                           160.79                         
Wieser Sage                    18054                          23                             STRAWBRIDGE                    120.00                         
Wieser Sage                    18054                          24                             TNG                            132.51                         
Paprocki Lenna                 18393                          2                              Wal-Mart                       49.97                          
Paprocki Lenna                 18393                          24                             IN                             46.79                          
Vocelka Francine               20759                          44                             AL                             222.94                         
Vocelka Francine               20759                          47                             AL                             216.73                         
Vocelka Francine               20759                          51                             AL                             297.06                         
Vocelka Francine               20759                          58                             TST*                           387.34                         
Vocelka Francine               20759                          77                             CVS/PHARMACY                   299.39                         
Haroldson Cheryl               20908                          13                             AMERICAN                       172.81                         
Lipke Elza                     21152                          1                              APPFOLIO                       45.00                          
John Doe                       22222                          10                             Best                           10000.00                       
Weirather Daren                23427                          1                              APPLIED                        89.00                          
Ostrosky Rozella               24029                          4                              7                              128.60                         
Ostrosky Rozella               24029                          7                              ACADEMY                        134.18                         
Fern Natalie                   24124                          4                              AMZN                           272.41                         
Tollner Mitsue                 25643                          4                              TST*                           40.50                          
Tollner Mitsue                 25643                          14                             RUGGLES                        38.35                          
Tollner Mitsue                 25643                          38                             CASH                           50.00                          
Klonowski Karl                 25770                          30                             CHARLESTON                     246.65                         
Klonowski Karl                 25770                          31                             ENTERPRISE                     556.45                         
Klonowski Karl                 25770                          53                             BEACH                          204.82                         
Degroot Novella                26045                          6                              FRANK                          30.00                          
Butt James                     26522                          6                              7                              2.26                           
Sergi Alishia                  26603                          6                              DOORDASH*BJS                   127.80                         
Whobrey Yuki                   26607                          8                              UNITED                         244.40                         
Whobrey Yuki                   26607                          31                             ALASKA                         128.20                         
Merced Laticia                 26669                          2                              CASH                           27.00                          
Merced Laticia                 26669                          10                             SQC*<Cash                      72.01                          
Luczki Yolando                 26995                          3                              BROOKS                         44.15                          
Luczki Yolando                 26995                          18                             FBPAY                          45.00                          
Felger Twana                   27486                          7                              EVRYPLT*298696649              104.79                         
Felger Twana                   27486                          16                             COMCAST                        96.00                          
Sawchuk Nelida                 28064                          19                             CASH                           40.00                          
Amigon Minna                   28226                          21                             BEST                           172.02                         
Amigon Minna                   28226                          57                             FARMERS                        145.05                         
Amigon Minna                   28226                          60                             GRINGOS                        80.65                          
Parvis Arminda                 28382                          4                              H                              184.18                         
Toelkes Viva                   28440                          2                              BETOS                          14.59                          
Uyetake Sabra                  30483                          1                              PIZZERIA                       68.91                          
Madarang Kimbery               30772                          6                              ARCO                           30.24                          
Pugh Blondell                  30808                          2                              EFT                            393.25                         
Slusarski Alisha               30881                          2                              NOT                            151.54                         
Venere Art                     31094                          28                             EL                             95.57                          
Venere Art                     31094                          36                             TST*                           50.22                          
Venere Art                     31094                          53                             TEASE                          80.70                          
Venere Art                     31094                          135                            NIKO                           113.52                         
Garufi Meaghan                 31452                          7                              SQ                             210.00                         
